# The French verse number a printed Ostervald shows, by the KJV
# address the text sits at here. Generated by
# data-prep/ostervald/build-ostervald.py; read by NumberingSpec (Fr).
# osis	chapter	verse	printedRef
Ps	68	12	68:13
Ps	68	13	68:14
Ps	68	14	68:15
Ps	68	15	68:16
Ps	68	16	68:17
Ps	68	17	68:18
Ps	68	18	68:19
Ps	68	19	68:20
Ps	68	20	68:21
Ps	68	21	68:22
Ps	68	22	68:23
Ps	68	23	68:24
Ps	68	24	68:25
Ps	68	25	68:26
Ps	68	26	68:27
Ps	68	27	68:28
Ps	68	28	68:29
Ps	68	29	68:30
Ps	68	30	68:31
Ps	68	31	68:32
Ps	68	32	68:33
Ps	68	33	68:34
Ps	68	34	68:35
Ps	68	35	68:36
Ps	69	1	69:2
Ps	69	2	69:3
Ps	69	3	69:4
Ps	69	4	69:5
Ps	69	5	69:6
Ps	69	6	69:7
Ps	69	7	69:8
Ps	69	8	69:9
Ps	69	9	69:10
Ps	69	10	69:11
Ps	69	11	69:12
Ps	69	12	69:13
Ps	69	13	69:14
Ps	69	14	69:15
Ps	69	15	69:16
Ps	69	16	69:17
Ps	69	17	69:18
Ps	69	18	69:19
Ps	69	19	69:20
Ps	69	20	69:21
Ps	69	21	69:22
Ps	69	22	69:23
Ps	69	23	69:24
Ps	69	24	69:25
Ps	69	25	69:26
Ps	69	26	69:27
Ps	69	27	69:28
Ps	69	28	69:29
Ps	69	29	69:30
Ps	69	30	69:31
Ps	69	31	69:32
Ps	69	32	69:33
Ps	69	33	69:34
Ps	69	34	69:35
Ps	69	35	69:36
Ps	69	36	69:37
Ps	70	1	70:2
Ps	70	2	70:3
Ps	70	3	70:4
Ps	70	4	70:5
Ps	70	5	70:6
Ps	75	1	75:2
Ps	75	2	75:3
Ps	75	3	75:4
Ps	75	4	75:5
Ps	75	5	75:6
Ps	75	6	75:7
Ps	75	7	75:8
Ps	75	8	75:9
Ps	75	9	75:10
Ps	75	10	75:11
Ps	76	1	76:2
Ps	76	2	76:3
Ps	76	3	76:4
Ps	76	4	76:5
Ps	76	5	76:6
Ps	76	6	76:7
Ps	76	7	76:8
Ps	76	8	76:9
Ps	76	9	76:10
Ps	76	10	76:11
Ps	76	11	76:12
Ps	76	12	76:13
Ps	77	1	77:2
Ps	77	2	77:3
Ps	77	3	77:4
Ps	77	4	77:5
Ps	77	5	77:6
Ps	77	6	77:7
Ps	77	7	77:8
Ps	77	8	77:9
Ps	77	9	77:10
Ps	77	10	77:11
Ps	77	11	77:12
Ps	77	12	77:13
Ps	77	13	77:14
Ps	77	14	77:15
Ps	77	15	77:16
Ps	77	16	77:17
Ps	77	17	77:18
Ps	77	18	77:19
Ps	77	19	77:20
Ps	77	20	77:21
Ps	80	1	80:2
Ps	80	2	80:3
Ps	80	3	80:4
Ps	80	4	80:5
Ps	80	5	80:6
Ps	80	6	80:7
Ps	80	7	80:8
Ps	80	8	80:9
Ps	80	9	80:10
Ps	80	10	80:11
Ps	80	11	80:12
Ps	80	12	80:13
Ps	80	13	80:14
Ps	80	14	80:15
Ps	80	15	80:16
Ps	80	16	80:17
Ps	80	17	80:18
Ps	80	18	80:19
Ps	80	19	80:20
Ps	81	1	81:2
Ps	81	2	81:3
Ps	81	3	81:4
Ps	81	4	81:5
Ps	81	5	81:6
Ps	81	6	81:7
Ps	81	7	81:8
Ps	81	8	81:9
Ps	81	9	81:10
Ps	81	10	81:11
Ps	81	11	81:12
Ps	81	12	81:13
Ps	81	13	81:14
Ps	81	14	81:15
Ps	81	15	81:16
Ps	81	16	81:17
Ps	83	1	83:2
Ps	83	2	83:3
Ps	83	3	83:4
Ps	83	4	83:5
Ps	83	5	83:6
Ps	83	6	83:7
Ps	83	7	83:8
Ps	83	8	83:9
Ps	83	9	83:10
Ps	83	10	83:11
Ps	83	11	83:12
Ps	83	12	83:13
Ps	83	13	83:14
Ps	83	14	83:15
Ps	83	15	83:16
Ps	83	16	83:17
Ps	83	17	83:18
Ps	83	18	83:19
Ps	84	1	84:2
Ps	84	2	84:3
Ps	84	3	84:4
Ps	84	4	84:5
Ps	84	5	84:6
Ps	84	6	84:7
Ps	84	7	84:8
Ps	84	8	84:9
Ps	84	9	84:10
Ps	84	10	84:11
Ps	84	11	84:12
Ps	84	12	84:13
Ps	85	1	85:2
Ps	85	2	85:3
Ps	85	3	85:4
Ps	85	4	85:5
Ps	85	5	85:6
Ps	85	6	85:7
Ps	85	7	85:8
Ps	85	8	85:9
Ps	85	9	85:10
Ps	85	10	85:11
Ps	85	11	85:12
Ps	85	12	85:13
Ps	85	13	85:14
Ps	88	1	88:2
Ps	88	2	88:3
Ps	88	3	88:4
Ps	88	4	88:5
Ps	88	5	88:6
Ps	88	6	88:7
Ps	88	7	88:8
Ps	88	8	88:9
Ps	88	9	88:10
Ps	88	10	88:11
Ps	88	11	88:12
Ps	88	12	88:13
Ps	88	13	88:14
Ps	88	14	88:15
Ps	88	15	88:16
Ps	88	16	88:17
Ps	88	17	88:18
Ps	88	18	88:19
Ps	89	1	89:2
Ps	89	2	89:3
Ps	89	3	89:4
Ps	89	4	89:5
Ps	89	5	89:6
Ps	89	6	89:7
Ps	89	7	89:8
Ps	89	8	89:9
Ps	89	9	89:10
Ps	89	10	89:11
Ps	89	11	89:12
Ps	89	12	89:13
Ps	89	13	89:14
Ps	89	14	89:15
Ps	89	15	89:16
Ps	89	16	89:17
Ps	89	17	89:18
Ps	89	18	89:19
Ps	89	19	89:20
Ps	89	20	89:21
Ps	89	21	89:22
Ps	89	22	89:23
Ps	89	23	89:24
Ps	89	24	89:25
Ps	89	25	89:26
Ps	89	26	89:27
Ps	89	27	89:28
Ps	89	28	89:29
Ps	89	29	89:30
Ps	89	30	89:31
Ps	89	31	89:32
Ps	89	32	89:33
Ps	89	33	89:34
Ps	89	34	89:35
Ps	89	35	89:36
Ps	89	36	89:37
Ps	89	37	89:38
Ps	89	38	89:39
Ps	89	39	89:40
Ps	89	40	89:41
Ps	89	41	89:42
Ps	89	42	89:43
Ps	89	43	89:44
Ps	89	44	89:45
Ps	89	45	89:46
Ps	89	46	89:47
Ps	89	47	89:48
Ps	89	48	89:49
Ps	89	49	89:50
Ps	89	50	89:51
Ps	89	51	89:52
Ps	89	52	89:53
Ps	92	1	92:2
Ps	92	2	92:3
Ps	92	3	92:4
Ps	92	4	92:5
Ps	92	5	92:6
Ps	92	6	92:7
Ps	92	7	92:8
Ps	92	8	92:9
Ps	92	9	92:10
Ps	92	10	92:11
Ps	92	11	92:12
Ps	92	12	92:13
Ps	92	13	92:14
Ps	92	14	92:15
Ps	92	15	92:16
Ps	102	1	102:2
Ps	102	2	102:3
Ps	102	3	102:4
Ps	102	4	102:5
Ps	102	5	102:6
Ps	102	6	102:7
Ps	102	7	102:8
Ps	102	8	102:9
Ps	102	9	102:10
Ps	102	10	102:11
Ps	102	11	102:12
Ps	102	12	102:13
Ps	102	13	102:14
Ps	102	14	102:15
Ps	102	15	102:16
Ps	102	16	102:17
Ps	102	17	102:18
Ps	102	18	102:19
Ps	102	19	102:20
